  cell  ,E,W,N,S
"(4, 30)",1,1,0,0
"(5, 30)",1,0,0,0
"(6, 30)",0,1,0,1
"(7, 30)",1,1,1,0
"(8, 30)",0,1,0,1
"(9, 30)",1,0,1,0
"(10, 30)",1,0,0,1
"(11, 30)",0,1,1,0
"(12, 30)",1,1,0,0
"(13, 30)",1,1,0,0
"(14, 30)",0,1,0,1
"(15, 30)",0,0,1,1
"(16, 30)",0,0,1,1
"(17, 30)",0,0,1,1
"(18, 30)",1,0,1,0
"(19, 30)",0,1,0,1
"(20, 30)",1,0,1,0
"(21, 30)",1,0,0,1
"(22, 30)",0,1,1,0
"(23, 30)",1,0,0,1
"(24, 30)",0,0,1,1
"(25, 30)",1,1,1,0
"(26, 30)",0,0,0,1
"(27, 30)",0,0,1,1
"(28, 30)",1,1,1,0
"(29, 30)",1,0,0,0
"(30, 30)",1,1,0,0
"(1, 31)",1,1,0,0
"(2, 31)",1,0,0,1
"(3, 31)",0,1,1,0
"(4, 31)",1,1,0,0
"(5, 31)",1,1,0,0
"(6, 31)",1,0,0,1
"(7, 31)",0,1,1,0
"(8, 31)",1,0,0,1
"(9, 31)",0,1,1,0
"(10, 31)",0,1,0,1
"(11, 31)",1,0,1,0
"(12, 31)",0,1,0,1
"(13, 31)",1,1,1,0
"(14, 31)",0,0,0,1
"(15, 31)",1,0,1,1
"(16, 31)",1,0,1,1
"(17, 31)",0,0,1,0
"(18, 31)",1,1,0,0
"(19, 31)",1,0,0,1
"(20, 31)",0,1,1,0
"(21, 31)",0,1,0,1
"(22, 31)",1,0,1,0
"(23, 31)",1,1,0,0
"(24, 31)",1,0,0,1
"(25, 31)",0,1,1,0
"(26, 31)",1,0,0,1
"(27, 31)",0,0,1,1
"(28, 31)",0,1,1,1
"(29, 31)",1,1,1,0
"(30, 31)",1,1,0,0
"(1, 32)",1,1,0,0
"(2, 32)",1,1,0,0
"(3, 32)",0,0,0,1
"(4, 32)",1,1,1,0
"(5, 32)",1,1,0,0
"(6, 32)",1,1,0,0
"(7, 32)",1,0,0,1
"(8, 32)",0,1,1,0
"(9, 32)",1,0,0,1
"(10, 32)",0,0,1,1
"(11, 32)",0,1,1,0
"(12, 32)",1,0,0,0
"(13, 32)",0,1,0,1
"(14, 32)",1,0,1,0
"(15, 32)",0,1,0,0
"(16, 32)",1,1,0,0
"(17, 32)",1,0,0,1
"(18, 32)",0,1,1,0
"(19, 32)",0,1,0,1
"(20, 32)",1,0,1,1
"(21, 32)",1,0,1,0
"(22, 32)",0,1,0,1
"(23, 32)",0,1,1,0
"(24, 32)",1,1,0,0
"(25, 32)",1,0,0,1
"(26, 32)",0,1,1,0
"(27, 32)",1,0,0,1
"(28, 32)",1,0,1,0
"(29, 32)",1,1,0,0
"(30, 32)",1,1,0,0
"(1, 33)",1,1,0,0
"(2, 33)",1,1,0,0
"(3, 33)",1,0,0,1
"(4, 33)",0,1,1,0
"(5, 33)",1,1,0,0
"(6, 33)",1,1,0,0
"(7, 33)",0,1,0,1
"(8, 33)",1,0,1,0
"(9, 33)",0,1,0,1
"(10, 33)",1,0,1,0
"(11, 33)",1,0,0,1
"(12, 33)",1,1,1,0
"(13, 33)",1,0,0,1
"(14, 33)",0,1,1,0
"(15, 33)",1,0,0,1
"(16, 33)",0,1,1,0
"(17, 33)",1,1,0,0
"(18, 33)",1,0,0,1
"(19, 33)",1,0,1,1
"(20, 33)",0,1,1,0
"(21, 33)",1,1,0,0
"(22, 33)",1,0,0,1
"(23, 33)",1,0,1,0
"(24, 33)",0,1,0,1
"(25, 33)",0,1,1,0
"(26, 33)",1,0,0,0
"(27, 33)",1,1,0,0
"(28, 33)",0,1,0,1
"(29, 33)",0,1,1,0
"(30, 33)",1,1,0,0
"(1, 34)",1,1,0,0
"(2, 34)",0,1,0,1
"(3, 34)",0,1,1,0
"(4, 34)",0,0,0,1
"(5, 34)",1,1,1,0
"(6, 34)",0,1,0,1
"(7, 34)",1,0,1,0
"(8, 34)",1,1,0,0
"(9, 34)",0,0,0,1
"(10, 34)",0,1,1,1
"(11, 34)",0,1,1,0
"(12, 34)",0,1,0,0
"(13, 34)",1,1,0,0
"(14, 34)",0,0,0,1
"(15, 34)",1,1,1,0
"(16, 34)",1,0,0,1
"(17, 34)",0,1,1,0
"(18, 34)",1,1,0,0
"(19, 34)",1,1,0,0
"(20, 34)",0,0,0,1
"(21, 34)",0,1,1,0
"(22, 34)",1,1,0,0
"(23, 34)",0,1,0,1
"(24, 34)",0,0,1,1
"(25, 34)",1,0,1,1
"(26, 34)",0,1,1,0
"(27, 34)",0,1,0,1
"(28, 34)",1,0,1,0
"(29, 34)",1,0,0,1
"(30, 34)",0,1,1,0
"(1, 35)",1,1,0,0
"(2, 35)",1,0,0,1
"(3, 35)",1,0,1,1
"(4, 35)",0,0,1,1
"(5, 35)",0,1,1,1
"(6, 35)",1,0,1,0
"(7, 35)",1,1,0,0
"(8, 35)",0,1,0,1
"(9, 35)",0,0,1,1
"(10, 35)",1,0,1,0
"(11, 35)",1,0,0,1
"(12, 35)",1,0,1,0
"(13, 35)",1,1,0,0
"(14, 35)",1,0,0,1
"(15, 35)",1,1,1,0
"(16, 35)",1,1,0,0
"(17, 35)",0,0,0,1
"(18, 35)",0,1,1,0
"(19, 35)",1,1,0,1
"(20, 35)",0,0,1,1
"(21, 35)",0,0,1,1
"(22, 35)",1,1,1,0
"(23, 35)",1,0,0,1
"(24, 35)",0,0,1,0
"(25, 35)",0,1,0,1
"(26, 35)",0,0,1,1
"(27, 35)",0,0,1,1
"(28, 35)",1,1,1,0
"(29, 35)",1,1,0,0
"(30, 35)",1,0,0,0
"(1, 36)",1,1,0,1
"(2, 36)",0,1,1,0
"(3, 36)",1,1,0,0
"(4, 36)",1,0,0,0
"(5, 36)",1,0,0,1
"(6, 36)",0,1,1,0
"(7, 36)",1,1,0,0
"(8, 36)",1,0,0,1
"(9, 36)",1,0,1,0
"(10, 36)",0,1,0,1
"(11, 36)",0,1,1,0
"(12, 36)",0,1,0,1
"(13, 36)",0,1,1,1
"(14, 36)",0,1,1,0
"(15, 36)",0,1,0,0
"(16, 36)",0,1,0,1
"(17, 36)",0,0,1,1
"(18, 36)",1,0,1,0
"(19, 36)",1,1,0,0
"(20, 36)",1,0,0,1
"(21, 36)",1,0,1,0
"(22, 36)",1,1,0,0
"(23, 36)",1,1,0,0
"(24, 36)",1,0,0,1
"(25, 36)",0,0,1,1
"(26, 36)",0,0,1,1
"(27, 36)",1,0,1,0
"(28, 36)",0,1,0,0
"(29, 36)",1,1,0,0
"(30, 36)",1,1,0,0
"(1, 37)",1,1,0,1
"(2, 37)",0,0,1,0
"(3, 37)",1,1,0,0
"(4, 37)",0,1,0,1
"(5, 37)",0,1,1,1
"(6, 37)",1,0,1,0
"(7, 37)",1,1,0,0
"(8, 37)",1,1,0,0
"(9, 37)",0,1,0,1
"(10, 37)",1,0,1,0
"(11, 37)",1,0,0,1
"(12, 37)",0,0,1,1
"(13, 37)",1,0,1,0
"(14, 37)",1,0,0,1
"(15, 37)",0,0,1,1
"(16, 37)",1,0,1,0
"(17, 37)",1,0,0,1
"(18, 37)",0,1,1,0
"(19, 37)",0,1,0,0
"(20, 37)",1,1,0,0
"(21, 37)",1,1,0,0
"(22, 37)",0,1,0,1
"(23, 37)",0,1,1,0
"(24, 37)",0,1,0,1
"(25, 37)",0,0,1,1
"(26, 37)",1,0,1,0
"(27, 37)",0,1,0,1
"(28, 37)",0,0,1,1
"(29, 37)",0,1,1,0
"(30, 37)",1,1,0,0
"(1, 38)",1,1,0,0
"(2, 38)",1,0,0,1
"(3, 38)",1,1,1,0
"(4, 38)",1,0,0,1
"(5, 38)",1,0,1,0
"(6, 38)",0,1,0,0
"(7, 38)",0,1,0,1
"(8, 38)",0,1,1,0
"(9, 38)",1,0,0,1
"(10, 38)",0,1,1,0
"(11, 38)",0,1,0,1
"(12, 38)",1,0,1,0
"(13, 38)",1,1,0,0
"(14, 38)",0,1,0,1
"(15, 38)",1,0,1,0
"(16, 38)",0,1,0,1
"(17, 38)",0,1,1,0
"(18, 38)",1,0,0,1
"(19, 38)",0,0,1,1
"(20, 38)",0,1,1,0
"(21, 38)",1,1,0,0
"(22, 38)",1,0,0,1
"(23, 38)",1,0,1,1
"(24, 38)",0,0,1,1
"(25, 38)",0,0,1,0
"(26, 38)",0,1,0,1
"(27, 38)",0,0,1,1
"(28, 38)",1,0,1,0
"(29, 38)",1,0,0,1
"(30, 38)",1,1,1,0
"(1, 39)",1,1,0,0
"(2, 39)",1,1,0,0
"(3, 39)",0,1,0,0
"(4, 39)",1,1,0,0
"(5, 39)",0,1,0,1
"(6, 39)",0,0,1,1
"(7, 39)",1,0,1,0
"(8, 39)",1,0,0,1
"(9, 39)",0,1,1,0
"(10, 39)",1,0,0,1
"(11, 39)",1,0,1,0
"(12, 39)",1,1,0,0
"(13, 39)",0,1,0,1
"(14, 39)",1,0,1,0
"(15, 39)",0,1,0,1
"(16, 39)",0,0,1,1
"(17, 39)",1,0,1,0
"(18, 39)",0,1,0,1
"(19, 39)",1,0,1,0
"(20, 39)",1,0,0,1
"(21, 39)",0,1,1,0
"(22, 39)",1,1,0,0
"(23, 39)",0,1,0,1
"(24, 39)",0,0,1,1
"(25, 39)",1,0,1,0
"(26, 39)",1,0,0,1
"(27, 39)",1,0,1,0
"(28, 39)",1,1,0,0
"(29, 39)",1,1,0,0
"(30, 39)",1,1,0,0
"(1, 40)",0,1,0,0
"(2, 40)",0,1,0,1
"(3, 40)",0,0,1,1
"(4, 40)",0,1,1,1
"(5, 40)",0,0,1,1
"(6, 40)",0,0,1,0
"(7, 40)",0,1,0,1
"(8, 40)",0,1,1,1
"(9, 40)",0,0,1,1
"(10, 40)",0,1,1,0
"(11, 40)",0,1,0,1
"(12, 40)",0,1,1,0
"(13, 40)",0,0,0,1
"(14, 40)",0,1,1,1
"(15, 40)",0,0,1,1
"(16, 40)",0,0,1,0
"(17, 40)",0,1,0,1
"(18, 40)",0,0,1,1
"(19, 40)",0,1,1,0
"(20, 40)",0,1,0,1
"(21, 40)",0,0,1,1
"(22, 40)",0,1,1,1
"(23, 40)",0,0,1,1
"(24, 40)",0,0,1,0
"(25, 40)",0,1,0,1
"(26, 40)",0,1,1,0
"(27, 40)",0,1,0,1
"(28, 40)",0,1,1,1
"(29, 40)",0,1,1,0
"(30, 40)",0,1,0,0
